Train Start,Train End,Test Start,Test End,ETF,Short_MA,Long_MA,Threshold,Strategy Return,Trade Count
1999-01-01,2000-12-31,2001-01-01,2001-12-31,DIA,12,15,0.00025,-0.0341,13
1999-01-01,2000-12-31,2001-01-01,2001-12-31,SPY,35,41,0.0005,-0.1282,3
1999-01-01,2000-12-31,2001-01-01,2001-12-31,QQQ,12,13,0.00225,-0.1547,10
2000-01-01,2001-12-31,2002-01-01,2002-12-31,DIA,13,15,0.0015,-0.0923,4
2000-01-01,2001-12-31,2002-01-01,2002-12-31,SPY,8,13,0.003,-0.0379,3
2000-01-01,2001-12-31,2002-01-01,2002-12-31,QQQ,8,20,0.004,-0.3612,4
2001-01-01,2002-12-31,2003-01-01,2003-12-31,DIA,10,11,0.0005,0.1267,17
2001-01-01,2002-12-31,2003-01-01,2003-12-31,SPY,11,16,0.0005,0.2136,9
2001-01-01,2002-12-31,2003-01-01,2003-12-31,QQQ,8,11,0.00475,0.6012,3
2002-01-01,2003-12-31,2004-01-01,2004-12-31,DIA,8,19,0.002,0.1189,3
2002-01-01,2003-12-31,2004-01-01,2004-12-31,SPY,46,49,0.00125,0.1502,0
2002-01-01,2003-12-31,2004-01-01,2004-12-31,QQQ,48,49,0.0,0.1353,10
2003-01-01,2004-12-31,2005-01-01,2005-12-31,DIA,18,20,0.0005,0.0923,4
2003-01-01,2004-12-31,2005-01-01,2005-12-31,SPY,11,22,0.001,0.1154,4
2003-01-01,2004-12-31,2005-01-01,2005-12-31,QQQ,13,35,0.002,0.0832,1
2004-01-01,2005-12-31,2006-01-01,2006-12-31,DIA,48,50,0.00025,0.1713,0
2004-01-01,2005-12-31,2006-01-01,2006-12-31,SPY,7,8,0.001,0.0561,6
2004-01-01,2005-12-31,2006-01-01,2006-12-31,QQQ,11,13,0.00075,-0.0147,8
2005-01-01,2006-12-31,2007-01-01,2007-12-31,DIA,5,9,0.0015,-0.1005,8
2005-01-01,2006-12-31,2007-01-01,2007-12-31,SPY,17,24,0.0015,0.079,1
2005-01-01,2006-12-31,2007-01-01,2007-12-31,QQQ,13,22,0.001,0.0276,3
2006-01-01,2007-12-31,2008-01-01,2008-12-31,DIA,9,14,0.001,-0.247,6
2006-01-01,2007-12-31,2008-01-01,2008-12-31,SPY,17,24,0.00025,-0.024,5
2006-01-01,2007-12-31,2008-01-01,2008-12-31,QQQ,17,26,0.00075,-0.2048,4
2007-01-01,2008-12-31,2009-01-01,2009-12-31,DIA,19,25,0.0005,0.3054,5
2007-01-01,2008-12-31,2009-01-01,2009-12-31,SPY,17,22,0.00075,-0.0081,5
2007-01-01,2008-12-31,2009-01-01,2009-12-31,QQQ,15,22,0.001,0.1037,4
2008-01-01,2009-12-31,2010-01-01,2010-12-31,DIA,10,13,0.00325,0.1318,1
2008-01-01,2009-12-31,2010-01-01,2010-12-31,SPY,11,12,0.0025,0.1271,1
2008-01-01,2009-12-31,2010-01-01,2010-12-31,QQQ,25,35,0.0005,0.0285,2
2009-01-01,2010-12-31,2011-01-01,2011-12-31,DIA,5,11,0.00425,-0.0172,3
2009-01-01,2010-12-31,2011-01-01,2011-12-31,SPY,8,23,0.0025,0.0807,5
2009-01-01,2010-12-31,2011-01-01,2011-12-31,QQQ,31,32,0.0005,0.0521,1
2010-01-01,2011-12-31,2012-01-01,2012-12-31,DIA,10,13,0.0005,-0.0262,7
2010-01-01,2011-12-31,2012-01-01,2012-12-31,SPY,12,15,0.00075,0.0469,5
2010-01-01,2011-12-31,2012-01-01,2012-12-31,QQQ,18,20,0.00075,0.0671,3
2011-01-01,2012-12-31,2013-01-01,2013-12-31,DIA,30,35,0.00125,0.335,0
2011-01-01,2012-12-31,2013-01-01,2013-12-31,SPY,8,9,0.00075,0.1406,8
2011-01-01,2012-12-31,2013-01-01,2013-12-31,QQQ,11,15,0.0005,0.2412,8
