Train Start,Train End,Test Start,Test End,ETF,Short_MA,Long_MA,Threshold,Strategy Return,Trade Count
1/1/99,12/31/00,1/1/01,12/31/01,DIA,12,15,0.00025,0.0088,11
1/1/99,12/31/00,1/1/01,12/31/01,SPY,35,41,0.0005,-0.1282,3
1/1/99,12/31/00,1/1/01,12/31/01,QQQ,12,13,0.00225,-0.181,8
1/1/00,12/31/01,1/1/02,12/31/02,DIA,13,15,0.0015,0.0526,3
1/1/00,12/31/01,1/1/02,12/31/02,SPY,8,13,0.003,-0.101,3
1/1/00,12/31/01,1/1/02,12/31/02,QQQ,8,20,0.004,-0.3612,4
1/1/01,12/31/02,1/1/03,12/31/03,DIA,10,11,0.0005,0.0453,12
1/1/01,12/31/02,1/1/03,12/31/03,SPY,11,16,0.0005,0.1549,7
1/1/01,12/31/02,1/1/03,12/31/03,QQQ,8,11,0.00475,0.0594,1
1/1/02,12/31/03,1/1/04,12/31/04,DIA,8,19,0.002,0.0383,3
1/1/02,12/31/03,1/1/04,12/31/04,SPY,46,49,0.00125,0.1075,0
1/1/02,12/31/03,1/1/04,12/31/04,QQQ,48,49,0,0.1302,8
1/1/03,12/31/04,1/1/05,12/31/05,DIA,18,20,0.0005,-0.0003,3
1/1/03,12/31/04,1/1/05,12/31/05,SPY,11,22,0.001,0.012,3
1/1/03,12/31/04,1/1/05,12/31/05,QQQ,13,35,0.002,0.0265,1
1/1/04,12/31/05,1/1/06,12/31/06,DIA,48,50,0.00025,0.174,0
1/1/04,12/31/05,1/1/06,12/31/06,SPY,7,8,0.001,-0.027,4
1/1/04,12/31/05,1/1/06,12/31/06,QQQ,11,13,0.00075,-0.0147,8
1/1/05,12/31/06,1/1/07,12/31/07,DIA,5,9,0.0015,-0.0901,7
1/1/05,12/31/06,1/1/07,12/31/07,SPY,17,24,0.0015,0.0533,1
1/1/05,12/31/06,1/1/07,12/31/07,QQQ,13,22,0.001,0.0276,3
1/1/06,12/31/07,1/1/08,12/31/08,DIA,9,14,0.001,-0.247,6
1/1/06,12/31/07,1/1/08,12/31/08,SPY,17,24,0.00025,-0.0322,5
1/1/06,12/31/07,1/1/08,12/31/08,QQQ,17,26,0.00075,-0.1467,3
1/1/07,12/31/08,1/1/09,12/31/09,DIA,19,25,0.0005,0.1377,2
1/1/07,12/31/08,1/1/09,12/31/09,SPY,17,22,0.00075,-0.0407,3
1/1/07,12/31/08,1/1/09,12/31/09,QQQ,15,22,0.001,0.0872,2
1/1/08,12/31/09,1/1/10,12/31/10,DIA,10,13,0.00325,0.1318,1
1/1/08,12/31/09,1/1/10,12/31/10,SPY,11,12,0.0025,0.1271,1
1/1/08,12/31/09,1/1/10,12/31/10,QQQ,25,35,0.0005,-0.0352,2
1/1/09,12/31/10,1/1/11,12/31/11,DIA,5,11,0.00425,-0.0172,3
1/1/09,12/31/10,1/1/11,12/31/11,SPY,8,23,0.0025,0.0044,5
1/1/09,12/31/10,1/1/11,12/31/11,QQQ,31,32,0.0005,0.0189,1
1/1/10,12/31/11,1/1/12,12/31/12,DIA,10,13,0.0005,0.0507,5
1/1/10,12/31/11,1/1/12,12/31/12,SPY,12,15,0.00075,0.0648,3
1/1/10,12/31/11,1/1/12,12/31/12,QQQ,18,20,0.00075,0.0522,2
1/1/11,12/31/12,1/1/13,12/31/13,DIA,30,35,0.00125,0.2655,0
1/1/11,12/31/12,1/1/13,12/31/13,SPY,8,9,0.00075,0.1406,8
1/1/11,12/31/12,1/1/13,12/31/13,QQQ,11,15,0.0005,0.2158,6
1/1/12,12/31/13,1/1/14,12/31/14,DIA,5,9,0.00475,0.1063,1
1/1/12,12/31/13,1/1/14,12/31/14,SPY,23,27,0.0005,0.0556,2
1/1/12,12/31/13,1/1/14,12/31/14,QQQ,8,20,0.002,0.0899,3
1/1/13,12/31/14,1/1/15,12/31/15,DIA,18,19,0.00025,0.1203,15
1/1/13,12/31/14,1/1/15,12/31/15,SPY,5,6,0.00275,-0.039,6
1/1/13,12/31/14,1/1/15,12/31/15,QQQ,17,18,0.00075,0.0554,2
1/1/14,12/31/15,1/1/16,12/31/16,DIA,25,27,0.0005,-0.0146,1
1/1/14,12/31/15,1/1/16,12/31/16,SPY,21,29,0.00025,0.1401,3
1/1/14,12/31/15,1/1/16,12/31/16,QQQ,20,25,0.0005,-0.0712,1
1/1/15,12/31/16,1/1/17,12/31/17,DIA,18,19,0,0.1923,12
1/1/15,12/31/16,1/1/17,12/31/17,SPY,15,21,0.00075,0.2078,1
1/1/15,12/31/16,1/1/17,12/31/17,QQQ,15,17,0.00025,0.1326,7
1/1/16,12/31/17,1/1/18,12/31/18,DIA,16,21,0.00075,-0.048,4
1/1/16,12/31/17,1/1/18,12/31/18,SPY,16,19,0.001,-0.0525,2
1/1/16,12/31/17,1/1/18,12/31/18,QQQ,7,8,0.00175,0.0871,5
1/1/17,12/31/18,1/1/19,12/31/19,DIA,39,40,0,0.0216,7
1/1/17,12/31/18,1/1/19,12/31/19,SPY,41,42,0,0.0995,4
1/1/17,12/31/18,1/1/19,12/31/19,QQQ,21,28,0.0005,0.2544,2
1/1/18,12/31/19,1/1/20,12/31/20,DIA,7,9,0.002,0.3222,4
1/1/18,12/31/19,1/1/20,12/31/20,SPY,6,12,0.00275,0.1252,3
1/1/18,12/31/19,1/1/20,12/31/20,QQQ,7,8,0.0015,0.3262,17
