Train Start,Train End,Test Start,Test End,ETF,Short_MA,Long_MA,Threshold,Strategy Return,Buy & Hold Return,Trade Count
1/1/99,12/31/03,1/1/04,12/31/04,DIA,9,16,0.0015,0.042,0.024,2
1/1/99,12/31/03,1/1/04,12/31/04,SPY,15,34,0.0015,0.0385,0.0723,1
1/1/99,12/31/03,1/1/04,12/31/04,QQQ,9,36,0.00425,0.0898,0.1084,2
1/1/00,12/31/04,1/1/05,12/31/05,DIA,9,16,0.0015,0.02,0.0435,3
1/1/00,12/31/04,1/1/05,12/31/05,SPY,55,62,0.001,0,0.0748,0
1/1/00,12/31/04,1/1/05,12/31/05,QQQ,35,48,0.00175,0,0.0908,0
1/1/01,12/31/05,1/1/06,12/31/06,DIA,9,16,0.0015,0.136,0.1856,4
1/1/01,12/31/05,1/1/06,12/31/06,SPY,55,62,0.00075,0,0.1066,0
1/1/01,12/31/05,1/1/06,12/31/06,QQQ,21,26,0.00125,0,0.0535,0
1/1/02,12/31/06,1/1/07,12/31/07,DIA,53,62,0.00075,0,0.0895,0
1/1/02,12/31/06,1/1/07,12/31/07,SPY,55,62,0.00075,0,0.0433,0
1/1/02,12/31/06,1/1/07,12/31/07,QQQ,35,48,0.0015,0,0.2125,0
1/1/03,12/31/07,1/1/08,12/31/08,DIA,15,54,0.00425,0,-0.2615,0
1/1/03,12/31/07,1/1/08,12/31/08,SPY,23,48,0.001,0,-0.3031,0
1/1/03,12/31/07,1/1/08,12/31/08,QQQ,21,26,0.00125,-0.004,-0.3076,1
1/1/04,12/31/08,1/1/09,12/31/09,DIA,53,82,0.00025,0.2802,0.3014,1
1/1/04,12/31/08,1/1/09,12/31/09,SPY,17,22,0.001,0.055,0.3616,3
1/1/04,12/31/08,1/1/09,12/31/09,QQQ,11,24,0.00075,0.1958,0.5048,6
1/1/05,12/31/09,1/1/10,12/31/10,DIA,9,26,0.003,0.1056,0.1789,1
1/1/05,12/31/09,1/1/10,12/31/10,SPY,17,28,0.001,0.1682,0.1858,2
1/1/05,12/31/09,1/1/10,12/31/10,QQQ,29,50,0.001,0.028,0.1562,2
1/1/06,12/31/10,1/1/11,12/31/11,DIA,7,12,0.00325,0.0188,0.0575,4
1/1/06,12/31/10,1/1/11,12/31/11,SPY,67,76,0.001,0,-0.0415,0
1/1/06,12/31/10,1/1/11,12/31/11,QQQ,39,46,0.00075,-0.0927,-0.0119,1
1/1/07,12/31/11,1/1/12,12/31/12,DIA,67,72,0.00075,0,0.0318,0
1/1/07,12/31/11,1/1/12,12/31/12,SPY,67,78,0.00025,0.0167,0.0555,1
1/1/07,12/31/11,1/1/12,12/31/12,QQQ,59,68,0.00025,-0.02,-0.0045,1
1/1/08,12/31/12,1/1/13,12/31/13,DIA,67,72,0.00075,0,0.1423,0
1/1/08,12/31/12,1/1/13,12/31/13,SPY,67,78,0.00025,0,0.1882,0
1/1/08,12/31/12,1/1/13,12/31/13,QQQ,69,84,0.0005,0,0.2456,0
1/1/09,12/31/13,1/1/14,12/31/14,DIA,7,12,0.00275,-0.0119,0.1056,1
1/1/09,12/31/13,1/1/14,12/31/14,SPY,7,30,0.00625,0,0.1451,0
1/1/09,12/31/13,1/1/14,12/31/14,QQQ,27,34,0.00175,0.1724,0.1642,1
1/1/10,12/31/14,1/1/15,12/31/15,DIA,21,26,0.001,-0.0149,0.0045,3
1/1/10,12/31/14,1/1/15,12/31/15,SPY,55,88,0.0005,-0.0214,-0.0211,1
1/1/10,12/31/14,1/1/15,12/31/15,QQQ,67,74,0.0005,-0.0184,0.0477,1
1/1/11,12/31/15,1/1/16,12/31/16,DIA,11,16,0.0025,0,0.2528,0
1/1/11,12/31/15,1/1/16,12/31/16,SPY,35,42,0.00125,0,0.1429,0
