ETF,Short_MA,Long_MA,Total Return,Trade Count
DIA,5,10,0.03592560099996578,289.0
SPY,5,10,-0.4195301095462052,291.0
QQQ,5,10,-0.22740400265632432,292.0
DIA,5,15,0.331876451206337,199.0
SPY,5,15,0.009818033790869984,206.0
QQQ,5,15,0.18899418455725692,200.0
DIA,5,20,0.12127014306576211,165.0
SPY,5,20,0.06855468337575576,159.0
QQQ,5,20,1.306610515843841,161.0
DIA,5,25,0.5288389005794354,140.0
SPY,5,25,0.8355675002801435,132.0
QQQ,5,25,1.327226079308074,145.0
DIA,5,30,1.1947911425842666,120.0
SPY,5,30,0.9672488901695364,120.0
QQQ,5,30,2.065878543494886,119.0
DIA,5,35,0.5502984235317663,112.0
SPY,5,35,0.5507423540791565,111.0
QQQ,5,35,2.09238264103721,109.0
DIA,5,40,0.4880391279068832,101.0
SPY,5,40,0.2138731216712455,108.0
QQQ,5,40,1.6988657458885874,102.0
DIA,5,45,0.2778085188057846,99.0
SPY,5,45,0.29367748768606483,98.0
QQQ,5,45,3.0205367123779725,87.0
DIA,5,50,0.35559472380653134,99.0
SPY,5,50,0.6274320861915208,87.0
QQQ,5,50,3.1049195753125636,83.0
DIA,5,55,0.4491261939533453,89.0
SPY,5,55,0.664843902308085,90.0
QQQ,5,55,2.4633930164809548,79.0
DIA,5,60,0.7074714706383702,90.0
SPY,5,60,1.0468207314330669,77.0
QQQ,5,60,2.9171090792754777,78.0
DIA,5,65,0.8043210138489523,77.0
SPY,5,65,1.2417136174400913,74.0
QQQ,5,65,3.1847776823705534,74.0
DIA,5,70,0.6359700303861029,79.0
SPY,5,70,1.0393851551557711,73.0
QQQ,5,70,2.7483215563172925,72.0
DIA,5,75,0.6914774990803183,79.0
SPY,5,75,1.0796820370970717,69.0
QQQ,5,75,3.064804275487022,68.0
DIA,5,80,0.6722807100704591,75.0
SPY,5,80,1.2479426689913624,62.0
QQQ,5,80,2.5498995911221822,63.0
DIA,5,85,0.6527548608854827,73.0
SPY,5,85,1.2603649592693973,58.0
QQQ,5,85,1.067069889784738,60.0
DIA,5,90,0.3647895852966918,79.0
SPY,5,90,1.3121895344209542,58.0
QQQ,5,90,1.5854376463467363,57.0
DIA,5,95,0.5633091394939185,70.0
SPY,5,95,1.2915531199877157,60.0
QQQ,5,95,1.2571342902092266,61.0
DIA,5,100,0.3731516938449535,69.0
SPY,5,100,1.1760434596792444,57.0
QQQ,5,100,1.2077486958256625,59.0
DIA,5,105,0.3109089426554561,67.0
SPY,5,105,1.13743547018571,55.0
QQQ,5,105,1.0114154827068993,63.0
DIA,5,110,0.3199252117083111,73.0
SPY,5,110,1.146191144448487,54.0
QQQ,5,110,0.9687296266562975,61.0
DIA,5,115,0.22602402475530292,72.0
SPY,5,115,1.1971465346420436,55.0
QQQ,5,115,1.4558761652144292,52.0
DIA,5,120,0.3271140776266017,73.0
SPY,5,120,0.9413771107470925,57.0
QQQ,5,120,1.6867695924849615,52.0
DIA,5,125,0.32405006348694787,65.0
SPY,5,125,1.0193193927525592,50.0
QQQ,5,125,1.527549417661116,52.0
DIA,5,130,0.2703650285809849,68.0
SPY,5,130,1.3492568073800864,48.0
QQQ,5,130,1.3013307644244034,49.0
DIA,5,135,0.433501277270828,68.0
SPY,5,135,1.2010622274804246,52.0
QQQ,5,135,1.5815624248305475,45.0
DIA,5,140,0.5123714502268448,62.0
SPY,5,140,1.3520945921531284,53.0
QQQ,5,140,1.5784168172000084,46.0
DIA,5,145,0.7497048203363537,61.0
SPY,5,145,1.1641001276449474,58.0
QQQ,5,145,1.3942536315306358,40.0
DIA,5,150,0.7581885906882735,54.0
SPY,5,150,1.2999655019878404,51.0
QQQ,5,150,1.9709639881483567,37.0
DIA,5,155,0.7903796699086896,54.0
SPY,5,155,1.330365231222951,47.0
QQQ,5,155,1.850273855870841,40.0
DIA,5,160,0.8176531370723938,54.0
SPY,5,160,1.7683947694163784,43.0
QQQ,5,160,1.3515445617303543,38.0
DIA,5,165,0.8944207738409644,51.0
SPY,5,165,1.745528669916049,42.0
QQQ,5,165,1.0240774138645543,37.0
DIA,5,170,0.8809738756924805,50.0
SPY,5,170,1.899631702582624,37.0
QQQ,5,170,1.1433429690420622,35.0
DIA,5,175,0.8649977241692539,50.0
SPY,5,175,2.3376753888881874,31.0
QQQ,5,175,0.9907957420131777,35.0
DIA,5,180,0.8247049645611155,51.0
SPY,5,180,1.9806530773227768,34.0
QQQ,5,180,1.7102017923366475,35.0
DIA,5,185,0.7885854789055142,53.0
SPY,5,185,2.5907284656045397,33.0
QQQ,5,185,2.065961623936976,38.0
DIA,5,190,1.0003355747335831,51.0
SPY,5,190,2.5319473719059733,29.0
QQQ,5,190,1.5786993835111476,38.0
DIA,5,195,1.0763301733987252,50.0
SPY,5,195,2.1841522859596703,33.0
QQQ,5,195,1.6510407952327752,38.0
DIA,5,200,0.9739495205829991,49.0
SPY,5,200,2.061182726878043,31.0
QQQ,5,200,1.7956778281399894,38.0
DIA,5,205,0.8027067503869969,47.0
SPY,5,205,2.053728641562669,30.0
QQQ,5,205,1.965130785941274,36.0
DIA,5,210,0.8140512588186037,49.0
SPY,5,210,2.0551355520709484,30.0
QQQ,5,210,2.191089422832486,35.0
DIA,5,215,0.787884046246691,47.0
SPY,5,215,1.8955647744402766,30.0
QQQ,5,215,2.5913626973720616,33.0
DIA,5,220,0.8215975705019081,46.0
SPY,5,220,2.0547395934329664,28.0
QQQ,5,220,2.887606189716019,31.0
DIA,5,225,0.9410389907460368,46.0
SPY,5,225,2.124859707894763,27.0
QQQ,5,225,2.7825512404128703,30.0
DIA,5,230,0.9591833742893314,44.0
SPY,5,230,2.5969240797662696,25.0
QQQ,5,230,3.011028428531178,28.0
DIA,5,235,1.1034922887080785,42.0
SPY,5,235,2.528818881739557,26.0
QQQ,5,235,3.149803270362513,27.0
DIA,5,240,1.1355282295170217,40.0
SPY,5,240,2.330045307336674,24.0
QQQ,5,240,3.1648952183981267,26.0
DIA,5,245,1.1389238577015854,39.0
SPY,5,245,2.268558097419031,24.0
QQQ,5,245,2.9034487371652338,26.0
DIA,5,250,1.091916955689538,39.0
SPY,5,250,2.3306579049083864,23.0
QQQ,5,250,3.1217284558418052,27.0
DIA,5,255,1.2873922195316747,37.0
SPY,5,255,2.248276308593762,23.0
QQQ,5,255,3.4417868166199463,26.0
DIA,10,15,1.144162196342894,199.0
SPY,10,15,0.8367760340658887,199.0
QQQ,10,15,0.674587148303343,191.0
DIA,10,20,1.6530108632201599,127.0
SPY,10,20,0.2849383091375912,135.0
QQQ,10,20,0.8748296601731922,135.0
DIA,10,25,1.0109064537024124,108.0
SPY,10,25,0.7295891583183369,106.0
QQQ,10,25,1.9104199403246258,106.0
DIA,10,30,0.9459131645226824,96.0
SPY,10,30,0.7527315620354895,87.0
QQQ,10,30,1.822619672291621,89.0
DIA,10,35,0.7070531368048281,80.0
SPY,10,35,0.7779604105437148,82.0
QQQ,10,35,2.0901049712857143,84.0
DIA,10,40,0.5041915342170409,77.0
SPY,10,40,0.6251885872432299,79.0
QQQ,10,40,1.956383450056708,75.0
DIA,10,45,0.9347604066344575,72.0
SPY,10,45,0.9672606907915171,74.0
QQQ,10,45,2.1332718184909027,66.0
DIA,10,50,0.8366574933379207,70.0
SPY,10,50,0.7656112357124005,69.0
QQQ,10,50,1.8421427908086008,65.0
DIA,10,55,1.1757060037098097,64.0
SPY,10,55,0.9897885153276693,64.0
QQQ,10,55,3.942637114172576,59.0
DIA,10,60,1.049039765902906,60.0
SPY,10,60,1.2387154955413449,60.0
QQQ,10,60,3.44469069103525,53.0
DIA,10,65,0.9348571792214404,56.0
SPY,10,65,1.6041417752142788,54.0
QQQ,10,65,3.851336790623524,49.0
DIA,10,70,1.21010729846761,59.0
SPY,10,70,2.0333323272851787,51.0
QQQ,10,70,2.0110095739661284,51.0
DIA,10,75,1.314135054583224,57.0
SPY,10,75,2.3955083757873377,43.0
QQQ,10,75,2.051909529256575,46.0
DIA,10,80,1.2391229060578657,56.0
SPY,10,80,1.9077659686039516,42.0
QQQ,10,80,1.6312239882134172,48.0
DIA,10,85,1.0948451331974614,53.0
SPY,10,85,1.5946200519243323,46.0
QQQ,10,85,1.2634724464257978,46.0
DIA,10,90,0.9380710202541425,51.0
SPY,10,90,1.4060623976852997,43.0
QQQ,10,90,1.0089998436194372,43.0
DIA,10,95,0.6000980720423519,52.0
SPY,10,95,1.5371184380043545,41.0
QQQ,10,95,1.0150531654049235,41.0
DIA,10,100,0.4649415772513017,53.0
SPY,10,100,1.6238744434786447,38.0
QQQ,10,100,1.6966110206985978,38.0
DIA,10,105,0.3139599597165601,54.0
SPY,10,105,1.2700841521009254,40.0
QQQ,10,105,1.8274295799508624,39.0
DIA,10,110,0.5172803333189262,53.0
SPY,10,110,1.2959213852186702,37.0
QQQ,10,110,1.9502894400416588,40.0
DIA,10,115,0.6757364612781076,48.0
SPY,10,115,1.2621689391096518,36.0
QQQ,10,115,1.6781633913058704,34.0
DIA,10,120,0.5817249442386738,49.0
SPY,10,120,1.5498486100111277,36.0
QQQ,10,120,1.7393087404700949,34.0
DIA,10,125,0.6412476284802602,45.0
SPY,10,125,1.5359541765325924,34.0
QQQ,10,125,1.4258053785874787,35.0
DIA,10,130,0.6664980477977276,44.0
SPY,10,130,1.7393465728728517,34.0
QQQ,10,130,1.2623110595638818,34.0
DIA,10,135,0.9015362572268317,44.0
SPY,10,135,2.019934650740999,37.0
QQQ,10,135,1.2218994054508951,32.0
DIA,10,140,0.875763492024171,43.0
SPY,10,140,1.9844109968738373,34.0
QQQ,10,140,0.5171444518643813,34.0
DIA,10,145,0.8168080453931255,43.0
SPY,10,145,2.058073060935108,36.0
QQQ,10,145,1.1626770764738197,33.0
DIA,10,150,0.8360733615017761,42.0
SPY,10,150,1.6579645327106554,38.0
QQQ,10,150,1.4487123537198316,30.0
DIA,10,155,0.9568957700410465,40.0
SPY,10,155,1.663485243408537,35.0
QQQ,10,155,1.596889395384447,29.0
DIA,10,160,1.095432174986044,37.0
SPY,10,160,1.8454127189454739,30.0
QQQ,10,160,1.2549264386366912,28.0
DIA,10,165,1.1300570315306908,36.0
SPY,10,165,2.167993291501302,27.0
QQQ,10,165,1.07774951141257,31.0
DIA,10,170,1.573244580079471,36.0
SPY,10,170,2.207681429418505,24.0
QQQ,10,170,1.1924448547834237,31.0
DIA,10,175,1.1539890787745506,36.0
SPY,10,175,2.2055474919801923,22.0
QQQ,10,175,1.1353693090759753,29.0
DIA,10,180,1.2619038378214587,35.0
SPY,10,180,2.4061645758952173,22.0
QQQ,10,180,1.2290884170244119,29.0
DIA,10,185,1.3130421366025038,35.0
SPY,10,185,2.4456426458537193,24.0
QQQ,10,185,1.1435257121938718,32.0
DIA,10,190,1.273824911455684,33.0
SPY,10,190,2.6913133697062803,21.0
QQQ,10,190,1.4268698959549413,30.0
DIA,10,195,1.1308921805837149,33.0
SPY,10,195,2.4861430123607824,18.0
QQQ,10,195,1.6354077821751982,29.0
DIA,10,200,1.1731613325626968,32.0
SPY,10,200,2.5515699357607917,18.0
QQQ,10,200,1.8719474332398334,30.0
DIA,10,205,1.308496378023599,31.0
SPY,10,205,2.392184315514445,19.0
QQQ,10,205,1.8720630107000256,29.0
DIA,10,210,1.279779946799227,31.0
SPY,10,210,2.3594842620629763,19.0
QQQ,10,210,2.3913513552096526,25.0
DIA,10,215,1.3155212405881707,31.0
SPY,10,215,2.039011858129722,20.0
QQQ,10,215,2.732811669847865,23.0
DIA,10,220,1.3736464910426451,30.0
SPY,10,220,1.884581742523714,22.0
QQQ,10,220,2.966995227749076,21.0
DIA,10,225,1.4327326665505398,30.0
SPY,10,225,1.8329981418499997,20.0
QQQ,10,225,3.165728694631958,20.0
DIA,10,230,1.6233722577921994,27.0
SPY,10,230,1.8925401850004078,20.0
QQQ,10,230,3.1620026531426904,19.0
DIA,10,235,1.4776405533229413,27.0
SPY,10,235,2.243358201691764,19.0
QQQ,10,235,3.1375143930916725,18.0
DIA,10,240,1.528324036063529,27.0
SPY,10,240,2.5305177462618884,16.0
QQQ,10,240,3.535433221169125,19.0
DIA,10,245,1.7494128553054056,26.0
SPY,10,245,2.268074687068165,16.0
QQQ,10,245,3.230761437472366,20.0
