Train Start,Train End,Test Start,Test End,ETF,Short_MA,Long_MA,Threshold,Strategy Return,Trade Count,Sharpe
1999-01-01,2001-12-31,2002-01-01,2003-12-31,DIA,10,20,0.001,0.2445,6,0.0461
1999-01-01,2001-12-31,2002-01-01,2003-12-31,SPY,85,95,0.00025,0.0411,3,0.0059
1999-01-01,2001-12-31,2002-01-01,2003-12-31,QQQ,15,35,0.0015,-0.1209,6,-0.0132
2000-01-01,2002-12-31,2003-01-01,2004-12-31,DIA,10,20,0.0005,0.1676,11,0.0423
2000-01-01,2002-12-31,2003-01-01,2004-12-31,SPY,65,80,0.00025,0.2796,3,0.0598
2000-01-01,2002-12-31,2003-01-01,2004-12-31,QQQ,15,25,0.00375,0.2292,1,0.0431
2001-01-01,2003-12-31,2004-01-01,2005-12-31,DIA,10,50,0.00175,-0.0146,6,-0.0066
2001-01-01,2003-12-31,2004-01-01,2005-12-31,SPY,10,180,0.0,0.0522,8,0.0165
2001-01-01,2003-12-31,2004-01-01,2005-12-31,QQQ,45,200,0.0,-0.0456,4,-0.0108
2002-01-01,2004-12-31,2005-01-01,2006-12-31,DIA,55,65,0.0,0.1132,14,0.0408
2002-01-01,2004-12-31,2005-01-01,2006-12-31,SPY,55,65,0.00025,0.2201,0,0.0619
2002-01-01,2004-12-31,2005-01-01,2006-12-31,QQQ,35,50,0.0005,0.0529,1,0.0155
2003-01-01,2005-12-31,2006-01-01,2007-12-31,DIA,55,70,0.00025,0.01,1,0.0055
2003-01-01,2005-12-31,2006-01-01,2007-12-31,SPY,55,65,0.00025,0.2139,1,0.047
2003-01-01,2005-12-31,2006-01-01,2007-12-31,QQQ,35,55,0.00025,0.2186,5,0.0432
2004-01-01,2006-12-31,2007-01-01,2008-12-31,DIA,65,80,0.00025,-0.082,5,-0.0203
2004-01-01,2006-12-31,2007-01-01,2008-12-31,SPY,10,240,0.0,-0.0251,3,-0.0075
2004-01-01,2006-12-31,2007-01-01,2008-12-31,QQQ,35,50,0.00025,-0.1128,9,-0.0242
2005-01-01,2007-12-31,2008-01-01,2009-12-31,DIA,15,25,0.00025,-0.2803,10,-0.0365
2005-01-01,2007-12-31,2008-01-01,2009-12-31,SPY,20,35,0.0005,-0.2497,6,-0.029
2005-01-01,2007-12-31,2008-01-01,2009-12-31,QQQ,15,25,0.00175,0.1943,6,0.0258
2006-01-01,2008-12-31,2009-01-01,2010-12-31,DIA,50,155,0.0,0.2302,3,0.051
2006-01-01,2008-12-31,2009-01-01,2010-12-31,SPY,15,65,0.00125,0.4567,3,0.0873
2006-01-01,2008-12-31,2009-01-01,2010-12-31,QQQ,10,25,0.0005,0.2626,16,0.0442
2007-01-01,2009-12-31,2010-01-01,2011-12-31,DIA,15,165,0.0,-0.0625,8,-0.0149
2007-01-01,2009-12-31,2010-01-01,2011-12-31,SPY,95,145,0.0,-0.0861,3,-0.0174
2007-01-01,2009-12-31,2010-01-01,2011-12-31,QQQ,65,85,0.0,0.1462,8,0.0272
2008-01-01,2010-12-31,2011-01-01,2012-12-31,DIA,20,90,0.0005,0.0028,7,0.0008
2008-01-01,2010-12-31,2011-01-01,2012-12-31,SPY,20,110,0.0,-0.0004,8,-0.0001
2008-01-01,2010-12-31,2011-01-01,2012-12-31,QQQ,45,90,0.0,0.0723,5,0.0164
2009-01-01,2011-12-31,2012-01-01,2013-12-31,DIA,30,70,0.001,0.1227,2,0.0448
2009-01-01,2011-12-31,2012-01-01,2013-12-31,SPY,35,60,0.00025,0.3577,4,0.095
2009-01-01,2011-12-31,2012-01-01,2013-12-31,QQQ,60,70,0.0,0.2995,6,0.0697
2010-01-01,2012-12-31,2013-01-01,2014-12-31,DIA,40,80,0.0005,0.3178,3,0.0872
2010-01-01,2012-12-31,2013-01-01,2014-12-31,SPY,60,85,0.00025,0.4281,1,0.1023
2010-01-01,2012-12-31,2013-01-01,2014-12-31,QQQ,15,65,0.00125,0.053,3,0.0257
2011-01-01,2013-12-31,2014-01-01,2015-12-31,DIA,35,135,0.0,0.0888,2,0.0248
2011-01-01,2013-12-31,2014-01-01,2015-12-31,SPY,10,125,0.0005,0.0622,4,0.0144
2011-01-01,2013-12-31,2014-01-01,2015-12-31,QQQ,65,210,0.0,0.2646,2,0.0474
2012-01-01,2014-12-31,2015-01-01,2016-12-31,DIA,30,50,0.0005,0.1678,2,0.0384
2012-01-01,2014-12-31,2015-01-01,2016-12-31,SPY,10,105,0.00025,-0.0057,8,-0.0017
2012-01-01,2014-12-31,2015-01-01,2016-12-31,QQQ,20,35,0.001,-0.0394,4,-0.009
2013-01-01,2015-12-31,2016-01-01,2017-12-31,DIA,55,65,0.0,0.246,8,0.0848
2013-01-01,2015-12-31,2016-01-01,2017-12-31,SPY,15,25,0.001,0.0809,2,0.0624
2013-01-01,2015-12-31,2016-01-01,2017-12-31,QQQ,10,35,0.002,0.0021,5,0.001
2014-01-01,2016-12-31,2017-01-01,2018-12-31,DIA,85,165,0.0,0.175,2,0.0382
2014-01-01,2016-12-31,2017-01-01,2018-12-31,SPY,10,30,0.00175,0.2085,3,0.0553
2014-01-01,2016-12-31,2017-01-01,2018-12-31,QQQ,25,35,0.001,0.09,2,0.0196
2015-01-01,2017-12-31,2018-01-01,2019-12-31,DIA,85,165,0.0,0.0358,4,0.0075
2015-01-01,2017-12-31,2018-01-01,2019-12-31,SPY,95,160,0.0,0.05,2,0.0109
2015-01-01,2017-12-31,2018-01-01,2019-12-31,QQQ,95,145,0.0,0.1004,2,0.0168
2016-01-01,2018-12-31,2019-01-01,2020-12-31,DIA,15,35,0.0005,0.1964,9,0.0395
2016-01-01,2018-12-31,2019-01-01,2020-12-31,SPY,40,50,0.00025,0.4053,3,0.0639
2016-01-01,2018-12-31,2019-01-01,2020-12-31,QQQ,25,35,0.0005,0.775,7,0.0669
2017-01-01,2019-12-31,2020-01-01,2021-12-31,DIA,15,35,0.0005,0.1348,10,0.0275
2017-01-01,2019-12-31,2020-01-01,2021-12-31,SPY,15,40,0.0005,0.4367,6,0.0758
2017-01-01,2019-12-31,2020-01-01,2021-12-31,QQQ,25,35,0.0005,0.3873,11,0.0374
2018-01-01,2020-12-31,2021-01-01,2022-12-31,DIA,25,65,0.00125,0.1066,2,0.022
2018-01-01,2020-12-31,2021-01-01,2022-12-31,SPY,10,25,0.002,0.1862,2,0.0529
2018-01-01,2020-12-31,2021-01-01,2022-12-31,QQQ,10,25,0.0005,0.1815,13,0.0317
2019-01-01,2021-12-31,2022-01-01,2023-12-31,DIA,10,20,0.00075,0.02,14,0.0049
2019-01-01,2021-12-31,2022-01-01,2023-12-31,SPY,10,20,0.00175,0.0653,8,0.0131
2019-01-01,2021-12-31,2022-01-01,2023-12-31,QQQ,10,20,0.00225,0.0717,10,0.0111
2020-01-01,2022-12-31,2023-01-01,2024-12-31,DIA,70,85,0.0,0.053,8,0.0163
2020-01-01,2022-12-31,2023-01-01,2024-12-31,SPY,10,25,0.0025,0.432,1,0.1037
2020-01-01,2022-12-31,2023-01-01,2024-12-31,QQQ,10,25,0.00075,0.275,15,0.055
