Train Start,Train End,Test Start,Test End,ETF,Short_MA,Long_MA,Threshold,Strategy Return,Buy & Hold Return,Trade Count
1999-01-01,2000-12-31,2001-01-01,2001-12-31,DIA,12,15,0.00025,0.0354,-0.0483,10
1999-01-01,2000-12-31,2001-01-01,2001-12-31,SPY,35,41,0.0005,-0.0855,-0.0709,2
1999-01-01,2000-12-31,2001-01-01,2001-12-31,QQQ,12,13,0.00225,-0.0292,-0.4132,6
2000-01-01,2001-12-31,2002-01-01,2002-12-31,DIA,13,15,0.0015,0.0526,-0.1267,3
2000-01-01,2001-12-31,2002-01-01,2002-12-31,SPY,8,13,0.003,-0.0609,-0.2079,3
2000-01-01,2001-12-31,2002-01-01,2002-12-31,QQQ,8,20,0.004,-0.2616,-0.3632,3
2001-01-01,2002-12-31,2003-01-01,2003-12-31,DIA,10,11,0.0005,0.125,0.2235,11
2001-01-01,2002-12-31,2003-01-01,2003-12-31,SPY,11,16,0.0005,0.2398,0.3093,6
2001-01-01,2002-12-31,2003-01-01,2003-12-31,QQQ,8,11,0.00475,0.0594,0.3795,1
2002-01-01,2003-12-31,2004-01-01,2004-12-31,DIA,8,19,0.002,0.0525,0.0444,3
2002-01-01,2003-12-31,2004-01-01,2004-12-31,SPY,46,49,0.00125,0.0,0.0942,0
2002-01-01,2003-12-31,2004-01-01,2004-12-31,QQQ,48,49,0.0,0.193,0.135,6
2003-01-01,2004-12-31,2005-01-01,2005-12-31,DIA,18,20,0.0005,0.0357,0.0414,3
2003-01-01,2004-12-31,2005-01-01,2005-12-31,SPY,11,22,0.001,0.0293,0.0623,3
2003-01-01,2004-12-31,2005-01-01,2005-12-31,QQQ,13,35,0.002,0.0339,0.0991,1
2004-01-01,2005-12-31,2006-01-01,2006-12-31,DIA,48,50,0.00025,0.0,0.1289,0
2004-01-01,2005-12-31,2006-01-01,2006-12-31,SPY,7,8,0.001,-0.027,0.1199,4
2004-01-01,2005-12-31,2006-01-01,2006-12-31,QQQ,11,13,0.00075,0.0192,0.0496,7
2005-01-01,2006-12-31,2007-01-01,2007-12-31,DIA,5,9,0.0015,-0.0901,0.0768,7
2005-01-01,2006-12-31,2007-01-01,2007-12-31,SPY,17,24,0.0015,0.013,0.0277,1
2005-01-01,2006-12-31,2007-01-01,2007-12-31,QQQ,13,22,0.001,0.0372,0.1633,2
2006-01-01,2007-12-31,2008-01-01,2008-12-31,DIA,9,14,0.001,-0.247,-0.2463,6
2006-01-01,2007-12-31,2008-01-01,2008-12-31,SPY,17,24,0.00025,-0.0317,-0.311,5
2006-01-01,2007-12-31,2008-01-01,2008-12-31,QQQ,17,26,0.00075,-0.0551,-0.3076,3
2007-01-01,2008-12-31,2009-01-01,2009-12-31,DIA,19,25,0.0005,0.3071,0.2942,2
2007-01-01,2008-12-31,2009-01-01,2009-12-31,SPY,17,22,0.00075,0.055,0.3616,3
2007-01-01,2008-12-31,2009-01-01,2009-12-31,QQQ,15,22,0.001,0.1506,0.5401,2
2008-01-01,2009-12-31,2010-01-01,2010-12-31,DIA,10,13,0.00325,0.1318,0.1441,1
2008-01-01,2009-12-31,2010-01-01,2010-12-31,SPY,11,12,0.0025,0.1271,0.1258,1
2008-01-01,2009-12-31,2010-01-01,2010-12-31,QQQ,25,35,0.0005,0.0421,0.2447,2
2009-01-01,2010-12-31,2011-01-01,2011-12-31,DIA,5,11,0.00425,-0.0172,0.0568,3
2009-01-01,2010-12-31,2011-01-01,2011-12-31,SPY,8,23,0.0025,-0.043,-0.0202,5
2009-01-01,2010-12-31,2011-01-01,2011-12-31,QQQ,31,32,0.0005,0.012,-0.0429,1
2010-01-01,2011-12-31,2012-01-01,2012-12-31,DIA,10,13,0.0005,-0.0152,0.0537,5
2010-01-01,2011-12-31,2012-01-01,2012-12-31,SPY,12,15,0.00075,0.0648,0.1073,3
2010-01-01,2011-12-31,2012-01-01,2012-12-31,QQQ,18,20,0.00075,0.0522,0.0894,2
2011-01-01,2012-12-31,2013-01-01,2013-12-31,DIA,30,35,0.00125,0.0,0.2178,0
2011-01-01,2012-12-31,2013-01-01,2013-12-31,SPY,8,9,0.00075,0.1406,0.282,8
2011-01-01,2012-12-31,2013-01-01,2013-12-31,QQQ,11,15,0.0005,0.2135,0.3166,5
2012-01-01,2013-12-31,2014-01-01,2014-12-31,DIA,5,9,0.00475,-0.0083,0.1108,1
2012-01-01,2013-12-31,2014-01-01,2014-12-31,SPY,23,27,0.0005,0.0293,0.1641,2
2012-01-01,2013-12-31,2014-01-01,2014-12-31,QQQ,8,20,0.002,0.0612,0.2119,3
2013-01-01,2014-12-31,2015-01-01,2015-12-31,DIA,18,19,0.00025,0.101,0.0229,14
2013-01-01,2014-12-31,2015-01-01,2015-12-31,SPY,5,6,0.00275,-0.039,0.0187,6
2013-01-01,2014-12-31,2015-01-01,2015-12-31,QQQ,17,18,0.00075,0.0554,0.1196,2
2014-01-01,2015-12-31,2016-01-01,2016-12-31,DIA,25,27,0.0005,-0.0146,0.2697,1
2014-01-01,2015-12-31,2016-01-01,2016-12-31,SPY,21,29,0.00025,0.1401,0.2234,3
2014-01-01,2015-12-31,2016-01-01,2016-12-31,QQQ,20,25,0.0005,-0.0712,0.2399,1
2015-01-01,2016-12-31,2017-01-01,2017-12-31,DIA,18,19,0.0,0.2132,0.2676,10
2015-01-01,2016-12-31,2017-01-01,2017-12-31,SPY,15,21,0.00075,0.0914,0.1952,1
2015-01-01,2016-12-31,2017-01-01,2017-12-31,QQQ,15,17,0.00025,0.0279,0.2518,7
2016-01-01,2017-12-31,2018-01-01,2018-12-31,DIA,16,21,0.00075,-0.025,-0.0897,4
2016-01-01,2017-12-31,2018-01-01,2018-12-31,SPY,16,19,0.001,-0.0683,-0.1054,2
2016-01-01,2017-12-31,2018-01-01,2018-12-31,QQQ,7,8,0.00175,0.0871,-0.0473,5
2017-01-01,2018-12-31,2019-01-01,2019-12-31,DIA,39,40,0.0,-0.0261,0.1206,6
2017-01-01,2018-12-31,2019-01-01,2019-12-31,SPY,41,42,0.0,0.0707,0.1738,3
2017-01-01,2018-12-31,2019-01-01,2019-12-31,QQQ,21,28,0.0005,0.0785,0.2729,1
2018-01-01,2019-12-31,2020-01-01,2020-12-31,DIA,7,9,0.002,0.3222,0.0803,4
2018-01-01,2019-12-31,2020-01-01,2020-12-31,SPY,6,12,0.00275,0.3889,0.1473,3
2018-01-01,2019-12-31,2020-01-01,2020-12-31,QQQ,7,8,0.0015,0.3262,0.428,17
2019-01-01,2020-12-31,2021-01-01,2021-12-31,DIA,8,10,0.0005,0.0254,0.1986,10
2019-01-01,2020-12-31,2021-01-01,2021-12-31,SPY,7,17,0.003,0.2141,0.2855,1
2019-01-01,2020-12-31,2021-01-01,2021-12-31,QQQ,7,11,0.0005,0.1984,0.2634,10
2020-01-01,2021-12-31,2022-01-01,2022-12-31,DIA,12,13,0.00175,0.0108,-0.0273,1
2020-01-01,2021-12-31,2022-01-01,2022-12-31,SPY,9,13,0.00425,0.0226,-0.1301,1
2020-01-01,2021-12-31,2022-01-01,2022-12-31,QQQ,14,15,0.00175,-0.1185,-0.2408,2
2021-01-01,2022-12-31,2023-01-01,2023-12-31,DIA,8,11,0.001,-0.0034,0.1545,5
2021-01-01,2022-12-31,2023-01-01,2023-12-31,SPY,6,11,0.004,0.0,0.2326,0
2021-01-01,2022-12-31,2023-01-01,2023-12-31,QQQ,8,17,0.003,0.0,0.4057,0
2022-01-01,2023-12-31,2024-01-01,2024-12-31,DIA,8,11,0.00075,0.0787,0.161,7
2022-01-01,2023-12-31,2024-01-01,2024-12-31,SPY,9,14,0.00025,0.0338,0.2278,5
2022-01-01,2023-12-31,2024-01-01,2024-12-31,QQQ,18,25,0.00025,0.0044,0.2027,2
